player_name,date,surface,player_type,player_rank,player_rank_points,r_bp_created_mean,r_bp_converted_mean,r_bp_faced_mean,r_bp_saved_mean,r_bp_conv_rate,r_bp_save_rate,r_win_rate,r_matches_played
Sjeng Schalken,2005-07-18,Hard,Counter-Puncher,202.0,195.0,7.375,2.9375,7.375,4.0,0.3983050847457627,0.5423728813559322,0.4375,16.0
David Sanchez,2005-09-26,Clay,Unknown,138.0,302.0,7.5,3.25,8.0,4.1,0.43333333333333335,0.5125,0.45,20.0
Thomas Enqvist,2005-10-24,Carpet,All-Court Balanced,157.0,249.0,6.388888888888889,2.6666666666666665,8.555555555555555,5.388888888888889,0.41739130434782606,0.6298701298701299,0.3333333333333333,18.0
Alexander Popp,2005-10-24,Carpet,All-Court Balanced,241.0,147.0,5.375,1.6875,8.4375,4.875,0.313953488372093,0.5777777777777777,0.25,16.0
Mariano Puerta,2005-11-14,Carpet,Counter-Puncher,10.0,1799.0,4.85,1.6,6.9,4.45,0.32989690721649484,0.644927536231884,0.45,20.0
Gregory Carraz,2006-01-02,Hard,Unknown,167.0,233.0,4.733333333333333,1.5333333333333334,6.333333333333333,3.8666666666666667,0.323943661971831,0.6105263157894737,0.26666666666666666,15.0
Sargis Sargsian,2006-02-27,Hard,All-Court Balanced,391.0,74.0,3.3846153846153846,1.5384615384615385,8.76923076923077,4.384615384615385,0.45454545454545453,0.5,0.23076923076923078,13.0
Albert Costa,2006-04-24,Clay,Counter-Puncher,249.0,143.0,6.7,2.55,8.6,5.1,0.3805970149253731,0.5930232558139535,0.4,20.0
Irakli Labadze,2006-06-26,Grass,Counter-Puncher,166.0,249.0,5.2631578947368425,2.263157894736842,8.210526315789474,5.315789473684211,0.43,0.6474358974358975,0.3684210526315789,19.0
Tomas Behrend,2006-07-17,Hard,Baseline Grinder,152.0,270.0,6.1,2.6,7.7,3.85,0.4262295081967213,0.5,0.3,20.0
Alex Calatrava,2006-07-24,Clay,Unknown,188.0,214.0,6.15,2.2,7.85,4.65,0.35772357723577236,0.5923566878980892,0.2,20.0
Greg Rusedski,2006-08-28,Hard,All-Court Balanced,136.0,310.0,4.55,1.75,6.8,3.75,0.38461538461538464,0.5514705882352942,0.3,20.0
Jeff Morrison,2006-08-28,Hard,Unknown,157.0,260.0,6.45,2.45,6.65,3.65,0.3798449612403101,0.5488721804511278,0.3,20.0
Mark Philippoussis,2006-08-28,Hard,All-Court Balanced,113.0,381.0,6.0,2.05,5.7,3.45,0.3416666666666667,0.6052631578947368,0.55,20.0
Andre Agassi,2006-08-28,Hard,Counter-Puncher,39.0,925.0,7.55,2.7,5.9,3.55,0.3576158940397351,0.6016949152542372,0.55,20.0
Razvan Sabau,2006-09-11,Clay,Unknown,163.0,255.0,4.45,1.85,10.35,5.9,0.4157303370786517,0.5700483091787439,0.15,20.0
Edgardo Massa,2006-10-02,Hard,Unknown,240.0,163.0,6.0625,2.375,7.9375,4.875,0.3917525773195876,0.6141732283464567,0.375,16.0
Jiri Novak,2006-10-23,Carpet,Counter-Puncher,122.0,361.0,6.7,2.4,6.65,3.85,0.3582089552238806,0.5789473684210527,0.45,20.0
Alan Mackin,2007-01-15,Hard,Baseline Grinder,270.0,147.0,4.25,2.0,12.25,7.0,0.47058823529411764,0.5714285714285714,0.0,8.0
Cyril Saulnier,2007-02-12,Hard,Unknown,259.0,151.0,4.6,1.85,6.55,4.0,0.40217391304347827,0.6106870229007634,0.35,20.0
Paradorn Srichaphan,2007-03-19,Hard,All-Court Balanced,83.0,485.0,5.25,1.55,5.75,3.5,0.29523809523809524,0.6086956521739131,0.45,20.0
Jan Michael Gambill,2007-04-09,Clay,All-Court Balanced,671.0,25.0,4.888888888888889,1.3333333333333333,6.166666666666667,3.8333333333333335,0.2727272727272727,0.6216216216216216,0.3333333333333333,18.0
Lars Burgsmuller,2007-04-09,Clay,Unknown,263.0,150.0,5.15,2.2,7.8,4.3,0.42718446601941745,0.5512820512820513,0.25,20.0
Albert Portas,2007-04-15,Clay,Unknown,131.0,340.0,6.2,2.75,8.2,4.75,0.4435483870967742,0.5792682926829268,0.45,20.0
Juan Antonio Marin,2007-04-23,Clay,Counter-Puncher,259.0,148.0,6.45,2.85,6.8,3.2,0.4418604651162791,0.47058823529411764,0.3,20.0
Tobias Summerer,2007-05-14,Clay,Unknown,219.0,176.0,4.625,1.625,8.875,4.875,0.35135135135135137,0.5492957746478874,0.125,8.0
Bohdan Ulihrach,2007-06-25,Grass,Counter-Puncher,145.0,291.0,7.833333333333333,2.25,9.5,5.583333333333333,0.2872340425531915,0.5877192982456141,0.16666666666666666,12.0
Wayne Arthurs,2007-06-25,Grass,All-Court Balanced,195.0,219.0,4.8,1.7,5.3,3.15,0.3541666666666667,0.5943396226415094,0.45,20.0
Daniele Bracciali,2007-07-09,Grass,Unknown,139.0,305.0,4.75,1.45,6.65,3.9,0.30526315789473685,0.5864661654135338,0.35,20.0
Antony Dupuis,2007-07-09,Grass,Unknown,221.0,177.0,5.05,1.8,5.0,3.0,0.3564356435643564,0.6,0.45,20.0
Federico Luzzi,2007-07-23,Clay,Counter-Puncher,111.0,385.0,6.375,2.4375,8.9375,4.9375,0.38235294117647056,0.5524475524475524,0.3125,16.0
Felix Mantilla,2007-07-23,Clay,Counter-Puncher,421.0,72.0,7.8,3.6,9.3,5.4,0.46153846153846156,0.5806451612903226,0.45,20.0
