player_name,player_type
Aaron Krickstein,Counter-Puncher
Abedallah Shelbayh,Counter-Puncher
Adam Pavlasek,All-Court Balanced
Adam Walton,Counter-Puncher
Adrian Andreev,Counter-Puncher
Adrian Garcia,Counter-Puncher
Adrian Mannarino,Counter-Puncher
Adrian Voinea,All-Court Balanced
Adriano Panatta,Counter-Puncher
Adrien Bossel,Baseline Grinder
Agustin Calleri,Counter-Puncher
Agustin Velotti,All-Court Balanced
Aisam Ul Haq Qureshi,Big-Serve Aggressor
Akira Santillan,All-Court Balanced
Alan Mackin,Baseline Grinder
Albano Olivetti,All-Court Balanced
Albert Costa,Counter-Puncher
Albert Montanes,Baseline Grinder
Albert Ramos,Counter-Puncher
Alberto Berasategui,Counter-Puncher
Alberto Mancini,Baseline Grinder
Alberto Martin,Counter-Puncher
Alejandro Davidovich Fokina,Counter-Puncher
Alejandro Falla,Baseline Grinder
Alejandro Gonzalez,All-Court Balanced
Alejandro Lopez Escribano,Counter-Puncher
Alejandro Moro Canas,Counter-Puncher
Alejandro Tabilo,Big-Serve Aggressor
Aleksandar Kovacevic,All-Court Balanced
Aleksandar Vukic,Big-Serve Aggressor
Aleksandr Nedovyesov,All-Court Balanced
Aleksandre Metreveli,Baseline Grinder
Alessandro Giannessi,Baseline Grinder
Alex Barrena,Baseline Grinder
Alex Bogdanovic,Baseline Grinder
Alex Bogomolov Jr,Baseline Grinder
Alex Bolt,Big-Serve Aggressor
Alex Corretja,Counter-Puncher
Alex De Minaur,Counter-Puncher
Alex Kuznetsov,Big-Serve Aggressor
Alex Marti Pujolras,Counter-Puncher
Alex Michelsen,Counter-Puncher
Alex Molcan,Counter-Puncher
Alex Radulescu,Big-Serve Aggressor
Alexander Blockx,All-Court Balanced
Alexander Bublik,Big-Serve Aggressor
Alexander Cozbinov,Counter-Puncher
Alexander Popp,All-Court Balanced
Alexander Ritschard,Baseline Grinder
Alexander Shevchenko,Big-Serve Aggressor
Alexander Vasilenko,Baseline Grinder
Alexander Volkov,Counter-Puncher
Alexander Waske,All-Court Balanced
Alexander Zverev,Big-Serve Aggressor
Alexandr Dolgopolov,All-Court Balanced
Alexandre Muller,Counter-Puncher
Alexandre Penaud,Counter-Puncher
Alexei Popyrin,Big-Serve Aggressor
Alexey Vatutin,Baseline Grinder
Alexis Galarneau,Counter-Puncher
Aljaz Bedene,Counter-Puncher
Altug Celikbilek,Counter-Puncher
Alvaro Guillen Meza,Counter-Puncher
Amir Weintraub,Counter-Puncher
Amos Mansdorf,All-Court Balanced
Anders Jarryd,Counter-Puncher
Andre Agassi,Counter-Puncher
Andrea Arnaboldi,All-Court Balanced
Andrea Collarini,All-Court Balanced
Andrea Gaudenzi,Counter-Puncher
Andrea Pellegrino,Counter-Puncher
Andrea Vavassori,Big-Serve Aggressor
Andreas Haider Maurer,All-Court Balanced
Andreas Seppi,Counter-Puncher
Andreas Vinciguerra,Counter-Puncher
Andrei Cherkasov,Counter-Puncher
Andrei Chesnokov,Counter-Puncher
Andrei Medvedev,Counter-Puncher
Andrei Pavel,Counter-Puncher
Andrei Stoliarov,Counter-Puncher
Andrej Martin,Counter-Puncher
Andres Artunedo,Baseline Grinder
Andres Gomez,Counter-Puncher
Andrew Castle,Counter-Puncher
Andrew Foster,All-Court Balanced
Andrew Harris,Counter-Puncher
Andrey Golubev,Counter-Puncher
Andrey Kuznetsov,All-Court Balanced
Andrey Rublev,Big-Serve Aggressor
Andy Murray,All-Court Balanced
Andy Roddick,All-Court Balanced
Ante Pavic,Big-Serve Aggressor
Antoine Bellier,All-Court Balanced
Antoine Escoffier,All-Court Balanced
Antoine Hoang,Counter-Puncher
Antonio Veic,Baseline Grinder
Aristotelis Thanos,Baseline Grinder
Arklon Huertas Del Pino,Counter-Puncher
Arnaud Boetsch,Counter-Puncher
Arnaud Clement,Counter-Puncher
Arnaud Di Pasquale,Counter-Puncher
Arthur Ashe,All-Court Balanced
Arthur Cazaux,All-Court Balanced
Arthur Fery,Counter-Puncher
Arthur Fils,Big-Serve Aggressor
Arthur Rinderknech,Big-Serve Aggressor
Aslan Karatsev,Big-Serve Aggressor
Attila Balazs,Counter-Puncher
Axel Michon,Baseline Grinder
Balazs Taroczy,Counter-Puncher
Baptiste Crepatte,Counter-Puncher
Beibit Zhukayev,All-Court Balanced
Ben Shelton,Big-Serve Aggressor
Benjamin Balleret,Baseline Grinder
Benjamin Becker,All-Court Balanced
Benjamin Bonzi,Big-Serve Aggressor
Benjamin Hassan,All-Court Balanced
Benoit Paire,Big-Serve Aggressor
Bernabe Zapata Miralles,Counter-Puncher
Bernard Tomic,Big-Serve Aggressor
Bill Scanlon,Baseline Grinder
Billy Harris,Baseline Grinder
Bjorn Borg,Counter-Puncher
Bjorn Fratangelo,All-Court Balanced
Bjorn Phau,Baseline Grinder
Blaz Kavcic,Baseline Grinder
Blaz Rola,Counter-Puncher
Bob Bryan,All-Court Balanced
Bobby Reynolds,All-Court Balanced
Bohdan Ulihrach,Counter-Puncher
Boris Becker,All-Court Balanced
Borna Coric,All-Court Balanced
Borna Gojo,All-Court Balanced
Botic Van De Zandschulp,Counter-Puncher
Brad Gilbert,Counter-Puncher
Bradley Klahn,All-Court Balanced
Brandon Holt,Counter-Puncher
Brandon Nakashima,Big-Serve Aggressor
Brayden Schnur,All-Court Balanced
Brian Battistone,Baseline Grinder
Brian Gottfried,Counter-Puncher
Brian Teacher,Counter-Puncher
Bruno Kuzuhara,Counter-Puncher
Bu Yunchaokete,All-Court Balanced
Byron Black,Baseline Grinder
