match_id,year,slam,surface,focus_player,opponent,opponent_type,n_points,win_rate,momentum_mean,momentum_std,momentum_end,big_wins,big_losses
2020-ausopen-1142,2020,ausopen,Hard,J. Sinner,M. Purcell,Unknown,197,0.5532994923857868,3.835678149676837,9.384360704557539,16.424902360819853,100,78
2020-ausopen-1221,2020,ausopen,Hard,J. Sinner,M. Fucsovics,Unknown,189,0.4603174603174603,-0.9360857342904501,11.790830286331518,-2.7978887590882686,81,92
2020-frenchopen-1156,2020,frenchopen,Clay,J Sinner,D Goffin,Unknown,167,0.5868263473053892,5.40049776863905,9.851393526368375,13.641678572325212,87,66
2020-frenchopen-1228,2020,frenchopen,Clay,J Sinner,B Bonzi,Unknown,178,0.5617977528089888,1.7066763957387863,11.963107076614055,20.0,89,74
2020-frenchopen-1314,2020,frenchopen,Clay,J Sinner,F Coria,Unknown,211,0.5402843601895735,2.394989743990954,11.693177174230632,6.6667857545148665,109,93
2020-frenchopen-1407,2020,frenchopen,Clay,J Sinner,A Zverev,Unknown,251,0.5298804780876494,2.3702132226414285,10.699681806378429,-0.0739524032121821,114,96
2020-frenchopen-1504,2020,frenchopen,Clay,J Sinner,R Nadal,Unknown,190,0.4421052631578947,-3.787605258900069,11.064155994681641,-6.9547880016394625,78,101
2020-usopen-1156,2020,usopen,Hard,Jannik Sinner,Karen Khachanov,Unknown,350,0.4685714285714286,-1.8429305873904505,10.173018254238494,4.273641547964037,164,186
2021-ausopen-MS125,2021,ausopen,Hard,J Sinner,D Shapovalov,Unknown,302,0.4867549668874172,-3.1115808468704533,10.070965459417266,-5.921178079641667,133,134
2021-frenchopen-1121,2021,frenchopen,Clay,J Sinner,Ph Herbert,Unknown,305,0.5344262295081967,4.553567516874676,10.488715805631664,-20.0,144,128
2021-frenchopen-1211,2021,frenchopen,Clay,J Sinner,G Mager,Unknown,214,0.5514018691588785,5.327693282864234,11.37197092513621,2.233364022681558,102,78
2021-frenchopen-1306,2021,frenchopen,Clay,J Sinner,M Ymer,Unknown,198,0.5707070707070707,5.18492608137088,12.872045558762448,3.3563586617159618,101,80
2021-frenchopen-1403,2021,frenchopen,Clay,J Sinner,R Nadal,Unknown,159,0.37735849056603776,-6.73762949270173,10.155502952210426,-20.0,56,92
2021-usopen-1124,2021,usopen,Hard,Jannik Sinner,Max Purcell,Unknown,232,0.5474137931034483,2.234697703801611,9.842690424125594,4.899517026964513,120,93
2021-usopen-1212,2021,usopen,Hard,Jannik Sinner,Zachary Svajda,Unknown,297,0.5252525252525253,0.4532746790842123,10.313395312937393,7.888541960052029,146,133
2021-usopen-1306,2021,usopen,Hard,Jannik Sinner,Gael Monfils,Unknown,336,0.5208333333333334,1.3866592641838422,11.765507593788618,13.443039739958367,158,146
2021-usopen-1403,2021,usopen,Hard,Jannik Sinner,Alexander Zverev,Unknown,213,0.4788732394366197,2.453857874883402,9.769475533271663,7.965590810761521,96,84
2021-wimbledon-1112,2021,wimbledon,Grass,Jannik Sinner,Marton Fucsovics,Unknown,271,0.47232472324723246,-0.33385786620183083,11.086360199715891,-20.0,102,119
2022-usopen-1140,2022,usopen,Hard,Jannik Sinner,Daniel Altmaier,Unknown,248,0.5806451612903226,5.029237339067429,11.298210262372164,12.70344131206577,134,98
2022-usopen-1220,2022,usopen,Hard,Jannik Sinner,Christopher Eubanks,Unknown,195,0.5641025641025641,7.660002020131882,8.822274141025506,20.0,98,71
2022-usopen-1310,2022,usopen,Hard,Jannik Sinner,Brandon Nakashima,Unknown,234,0.5470085470085471,0.8539905678996137,11.072772449135615,-2.7715206823331497,114,98
2022-usopen-1405,2022,usopen,Hard,Jannik Sinner,Ilya Ivashka,Unknown,300,0.5433333333333333,3.5434668579359223,11.545779964508048,-9.355571821653907,154,121
2022-usopen-1503,2022,usopen,Hard,Jannik Sinner,Carlos Alcaraz,Unknown,382,0.4790575916230366,-3.2839943209031652,11.444741453644093,-16.02010525076658,158,194
2022-wimbledon-1109,2022,wimbledon,Grass,Jannik Sinner,Stan Wawrinka,Unknown,248,0.5403225806451613,1.1209454681781994,9.429749057680182,10.602975031909,113,95
2022-wimbledon-1205,2022,wimbledon,Grass,Jannik Sinner,Mikael Ymer,Unknown,246,0.5528455284552846,5.721517215906741,9.804205241478744,14.681377510625799,112,91
2022-wimbledon-1303,2022,wimbledon,Grass,Jannik Sinner,John Isner,Big Server,194,0.5463917525773195,5.715898291748911,9.182817107068894,-2.6757299921684563,86,55
2022-wimbledon-1402,2022,wimbledon,Grass,Jannik Sinner,Carlos Alcaraz,Unknown,264,0.553030303030303,0.4627929344511702,10.569594577538913,-3.984374401094095,108,90
2022-wimbledon-1501,2022,wimbledon,Grass,Jannik Sinner,Novak Djokovic,Unknown,262,0.4618320610687023,-4.665687079825708,10.491309593739663,17.633634268938724,94,111
