server_name,returner_name,surface,axis,value,n_points,top_choice,top_prob,second_choice,second_prob,exploit_gap
Aaron Krickstein,,,Overall,12.989740871722821,779,T,0.46598202824133506,Wide,0.4287548138639281,0.03722721437740695
Abedallah Shelbayh,,,Overall,8.325904593776446,138,Wide,0.4782608695652174,T,0.3695652173913043,0.10869565217391308
Adam Pavlasek,,,Overall,15.902131518524776,186,T,0.5268817204301075,Wide,0.3817204301075269,0.14516129032258063
Adam Walton,,,Overall,22.84138356482359,170,T,0.5117647058823529,Wide,0.4411764705882353,0.07058823529411762
Adrian Andreev,,,Overall,26.07716162436344,589,Wide,0.5076400679117148,T,0.4601018675721562,0.04753820033955858
Adrian Garcia,,,Overall,19.271212423481575,117,Wide,0.5897435897435898,T,0.3247863247863248,0.26495726495726496
Adrian Mannarino,,,Overall,18.69936326053847,5236,Wide,0.5498472116119175,T,0.3737585943468296,0.1760886172650879
Adrian Voinea,,,Overall,0.8840528567781392,40,T,0.4,Wide,0.3,0.10000000000000003
Adriano Panatta,,,Overall,3.6329879348175775,353,Wide,0.46742209631728043,T,0.28611898016997167,0.18130311614730876
Adrien Bossel,,,Overall,18.75279183048344,41,T,0.5365853658536586,Wide,0.3902439024390244,0.14634146341463417
Agustin Calleri,,,Overall,10.881210870740343,82,Wide,0.5609756097560976,T,0.2682926829268293,0.29268292682926833
Agustin Velotti,,,Overall,23.833527531690347,44,Wide,0.5454545454545454,T,0.4090909090909091,0.1363636363636363
Aisam Ul Haq Qureshi,,,Overall,8.045900623191638,90,Wide,0.4777777777777778,T,0.36666666666666664,0.11111111111111116
Akira Santillan,,,Overall,12.23554436865304,54,T,0.46296296296296297,Wide,0.42592592592592593,0.037037037037037035
Alan Mackin,,,Overall,0.4133784602651902,65,Body,0.36923076923076925,Wide,0.3384615384615385,0.03076923076923077
Albano Olivetti,,,Overall,13.682195209083602,60,Wide,0.4666666666666667,T,0.43333333333333335,0.033333333333333326
Albert Costa,,,Overall,14.469437445384859,728,Wide,0.5315934065934066,T,0.364010989010989,0.1675824175824176
Albert Montanes,,,Overall,14.8531188507119,134,Wide,0.5149253731343284,T,0.3880597014925373,0.12686567164179108
Albert Ramos,,,Overall,14.847150221747274,2002,T,0.46003996003996006,Wide,0.4485514485514486,0.011488511488511488
Alberto Berasategui,,,Overall,13.729884045372586,317,T,0.5047318611987381,Wide,0.3911671924290221,0.11356466876971605
Alberto Mancini,,,Overall,7.462440942133863,295,Wide,0.46440677966101696,T,0.376271186440678,0.08813559322033898
Alberto Martin,,,Overall,12.816867993648417,75,T,0.4666666666666667,Wide,0.4266666666666667,0.03999999999999998
Alejandro Davidovich Fokina,,,Overall,2.4015485854168572,4829,Wide,0.41064402567819425,T,0.357216815075585,0.05342721060260924
Alejandro Falla,,,Overall,11.811932317187035,568,T,0.5052816901408451,Wide,0.3732394366197183,0.1320422535211268
Alejandro Gonzalez,,,Overall,0.6173059768402989,93,T,0.3655913978494624,Wide,0.3548387096774194,0.010752688172043001
Alejandro Lopez Escribano,,,Overall,2.3703605409676975,61,Wide,0.39344262295081966,Body,0.3770491803278688,0.016393442622950838
Alejandro Moro Canas,,,Overall,4.572681299432013,199,T,0.40703517587939697,Wide,0.4020100502512563,0.00502512562814067
Alejandro Tabilo,,,Overall,10.360946493051893,1652,Wide,0.48365617433414043,T,0.3855932203389831,0.09806295399515735
Aleksandar Kovacevic,,,Overall,22.37445542339923,568,T,0.5105633802816901,Wide,0.44014084507042256,0.07042253521126757
Aleksandar Vukic,,,Overall,18.49920339117418,1114,Wide,0.48922800718132853,T,0.44165170556552963,0.0475763016157989
Aleksandr Nedovyesov,,,Overall,4.924515381383488,151,Wide,0.48344370860927155,T,0.2980132450331126,0.18543046357615894
Aleksandre Metreveli,,,Overall,13.860631448426819,96,Wide,0.5104166666666666,T,0.3854166666666667,0.12499999999999994
Alessandro Giannessi,,,Overall,6.708764977758486,156,Wide,0.47435897435897434,T,0.3525641025641026,0.12179487179487175
Alex Barrena,,,Overall,10.843424952411052,49,Wide,0.5714285714285714,T,0.22448979591836735,0.346938775510204
Alex Bogdanovic,,,Overall,10.936508518036536,66,Wide,0.4393939393939394,T,0.4393939393939394,0.0
Alex Bogomolov Jr,,,Overall,11.410683170849856,50,T,0.48,Wide,0.4,0.07999999999999996
Alex Bolt,,,Overall,26.458434187545432,264,Wide,0.48484848484848486,T,0.48484848484848486,0.0
Alex Corretja,,,Overall,8.85144418129763,1814,Wide,0.5033076074972437,T,0.34178610804851156,0.16152149944873212
Alex De Minaur,,,Overall,6.504045651314283,9455,Wide,0.4321523003701745,T,0.40169222633527235,0.03046007403490214
Alex Kuznetsov,,,Overall,11.593989846397601,53,T,0.5283018867924528,Wide,0.33962264150943394,0.18867924528301888
Alex Marti Pujolras,,,Overall,3.5712281377803468,47,Wide,0.46808510638297873,Body,0.2765957446808511,0.19148936170212766
Alex Michelsen,,,Overall,8.495449119002874,1295,Wide,0.5057915057915058,T,0.3328185328185328,0.17297297297297298
Alex Molcan,,,Overall,6.745023619825464,902,T,0.4844789356984479,Wide,0.33813747228381374,0.14634146341463417
Alex Radulescu,,,Overall,12.946914787601715,161,Wide,0.4658385093167702,T,0.42857142857142855,0.03726708074534163
Alexander Blockx,,,Overall,15.114948420955276,154,Wide,0.525974025974026,T,0.37662337662337664,0.14935064935064934
