entity_name,role,surface,rally_bucket,n_points,rally_advantage,avg_actual,avg_expected
Aaron Krickstein,Server,Clay,0-3,17,-0.0010177659442977777,0.6470588235294118,0.6480765894737095
Aaron Krickstein,Server,Clay,10+,25,-0.03834271122615943,0.44,0.47834271122615946
Aaron Krickstein,Server,Clay,4-6,17,-0.1422282921478122,0.4117647058823529,0.5539929980301652
Aaron Krickstein,Server,Clay,7-9,15,-0.0859334552934065,0.4,0.48593345529340654
Aaron Krickstein,Server,Hard,0-3,320,-0.018284463168555087,0.634375,0.6526594631685552
Aaron Krickstein,Server,Hard,10+,112,0.07992099225925943,0.5803571428571429,0.5004361505978834
Aaron Krickstein,Server,Hard,4-6,174,-0.10241548873486025,0.4425287356321839,0.5449442243670441
Aaron Krickstein,Server,Hard,7-9,93,0.028209871772125333,0.5376344086021505,0.5094245368300252
Abedallah Shelbayh,Server,Hard,0-3,75,-0.04101717247791928,0.6133333333333333,0.6543505058112525
Abedallah Shelbayh,Server,Hard,10+,13,-0.036848973322471765,0.46153846153846156,0.4983874348609333
Abedallah Shelbayh,Server,Hard,4-6,37,-0.041738826563503736,0.5135135135135135,0.5552523400770173
Abedallah Shelbayh,Server,Hard,7-9,9,0.045575189383986,0.5555555555555556,0.5099803661715696
Adam Pavlasek,Server,Clay,0-3,65,0.03834008135310079,0.7076923076923077,0.6693522263392069
Adam Pavlasek,Server,Clay,10+,7,-0.18918613958019176,0.2857142857142857,0.47490042529447746
Adam Pavlasek,Server,Clay,4-6,34,-0.19871694595267078,0.3235294117647059,0.5222463577173767
Adam Pavlasek,Server,Clay,7-9,14,-0.17981995031333445,0.2857142857142857,0.4655342360276202
Adam Pavlasek,Server,Hard,0-3,20,0.1510990771205746,0.9,0.7489009228794254
Adam Pavlasek,Server,Hard,10+,4,0.1898454397582568,0.75,0.5601545602417433
Adam Pavlasek,Server,Hard,4-6,15,0.010851904134431156,0.6666666666666666,0.6558147625322356
Adam Pavlasek,Server,Hard,7-9,4,-0.3822785308535917,0.25,0.6322785308535916
Adam Walton,Server,Grass,0-3,42,0.03880827059291049,0.6904761904761905,0.65166791988328
Adam Walton,Server,Grass,10+,6,0.19201841482374885,0.6666666666666666,0.4746482518429178
Adam Walton,Server,Grass,4-6,19,0.06504296995594758,0.631578947368421,0.5665359774124735
Adam Walton,Server,Grass,7-9,7,-0.10539985652700282,0.42857142857142855,0.5339712850984314
Adam Walton,Server,Hard,0-3,43,0.05221118459355625,0.7209302325581395,0.6687190479645833
Adam Walton,Server,Hard,10+,7,-0.23473924193546722,0.2857142857142857,0.520453527649753
Adam Walton,Server,Hard,4-6,25,-0.07144843337715619,0.48,0.5514484333771562
Adam Walton,Server,Hard,7-9,16,0.06080314914960139,0.5625,0.5016968508503986
Adrian Andreev,Server,Clay,0-3,66,-0.07400878825439539,0.5909090909090909,0.6649178791634863
Adrian Andreev,Server,Clay,10+,22,-0.01073534488920344,0.5,0.5107353448892035
Adrian Andreev,Server,Clay,4-6,35,0.09457627787489616,0.6571428571428571,0.562566579267961
Adrian Andreev,Server,Clay,7-9,20,0.003137965962676964,0.5,0.49686203403732304
Adrian Andreev,Server,Hard,0-3,197,0.009191575331262991,0.6598984771573604,0.6507069018260975
Adrian Andreev,Server,Hard,10+,47,0.09281838541826522,0.5957446808510638,0.5029262954327987
Adrian Andreev,Server,Hard,4-6,111,-0.010988462227083372,0.5495495495495496,0.5605380117766329
Adrian Andreev,Server,Hard,7-9,61,-0.07793513592258032,0.45901639344262296,0.5369515293652033
Adrian Garcia,Server,Hard,0-3,59,0.007179088567941216,0.6610169491525424,0.6538378605846011
Adrian Garcia,Server,Hard,10+,3,0.5285191226450756,1.0,0.4714808773549244
Adrian Garcia,Server,Hard,4-6,36,-0.046639674296068745,0.5,0.5466396742960687
Adrian Garcia,Server,Hard,7-9,8,0.2637065844147929,0.75,0.4862934155852071
Adrian Mannarino,Server,Clay,0-3,91,0.018482211752996,0.6813186813186813,0.6628364695656853
Adrian Mannarino,Server,Clay,10+,34,-0.06329902513623903,0.4117647058823529,0.475063731018592
Adrian Mannarino,Server,Clay,4-6,44,0.01849302771847861,0.5681818181818182,0.5496887904633396
Adrian Mannarino,Server,Clay,7-9,26,-0.03320388285694818,0.5,0.5332038828569482
Adrian Mannarino,Server,Grass,0-3,603,0.005897534286884707,0.6782752902155887,0.6723777559287041
Adrian Mannarino,Server,Grass,10+,164,0.08212000125813836,0.5792682926829268,0.49714829142478845
Adrian Mannarino,Server,Grass,4-6,296,-0.04303894803175882,0.5135135135135135,0.5565524615452723
Adrian Mannarino,Server,Grass,7-9,160,0.03339875519417877,0.5375,0.5041012448058212
Adrian Mannarino,Server,Hard,0-3,1630,0.013271151014001278,0.6773006134969325,0.6640294624829313
Adrian Mannarino,Server,Hard,10+,537,0.018062525285673606,0.5102420856610801,0.4921795603754065
Adrian Mannarino,Server,Hard,4-6,847,-0.03528269962061368,0.5112160566706021,0.5464987562912158
Adrian Mannarino,Server,Hard,7-9,410,0.03408255094515013,0.5390243902439025,0.5049418392987524
Adrian Voinea,Server,Hard,0-3,25,-0.040250486609961965,0.64,0.6802504866099619
Adrian Voinea,Server,Hard,4-6,10,-0.27415198663765966,0.3,0.5741519866376597
Adrian Voinea,Server,Hard,7-9,2,-0.5247308421964174,0.0,0.5247308421964174
Adriano Panatta,Server,Clay,0-3,124,-0.07752523526464203,0.5887096774193549,0.6662349126839968
Adriano Panatta,Server,Clay,10+,15,-0.05195412988888306,0.4,0.45195412988888306
Adriano Panatta,Server,Clay,4-6,55,-0.0028615924977518433,0.5272727272727272,0.5301343197704791
Adriano Panatta,Server,Clay,7-9,28,-0.19154971671100127,0.2857142857142857,0.477264002425287
Adriano Panatta,Server,Hard,0-3,106,-0.018532859293453795,0.6415094339622641,0.6600422932557178
Adriano Panatta,Server,Hard,4-6,20,0.09104812848525715,0.65,0.5589518715147428
Adriano Panatta,Server,Hard,7-9,3,-0.1912236178144593,0.3333333333333333,0.5245569511477927
Adrien Bossel,Server,Hard,0-3,31,-0.10110191471632592,0.4838709677419355,0.5849728824582614
Adrien Bossel,Server,Hard,10+,1,-0.3522682126047631,0.0,0.3522682126047631
Adrien Bossel,Server,Hard,4-6,5,-0.07444195974259143,0.4,0.47444195974259146
Adrien Bossel,Server,Hard,7-9,4,-0.3930491581877922,0.0,0.3930491581877922
Agustin Calleri,Server,Clay,0-3,34,0.09881639032273701,0.7647058823529411,0.6658894920302041
Agustin Calleri,Server,Clay,10+,9,-0.09668507309812156,0.3333333333333333,0.4300184064314549
Agustin Calleri,Server,Clay,4-6,25,0.000784964836996278,0.52,0.5192150351630037
Agustin Calleri,Server,Clay,7-9,7,-0.07110081142861586,0.42857142857142855,0.49967224000004445
Agustin Velotti,Server,Hard,0-3,20,0.18555897758695766,0.85,0.6644410224130424
Agustin Velotti,Server,Hard,10+,3,0.1341334485309561,0.6666666666666666,0.5325332181357106
Agustin Velotti,Server,Hard,4-6,8,-0.04039046139750699,0.5,0.540390461397507
Agustin Velotti,Server,Hard,7-9,8,0.1213534401547878,0.625,0.5036465598452122
Aisam Ul Haq Qureshi,Server,Grass,0-3,58,-0.12492208869024345,0.5517241379310345,0.6766462266212778
Aisam Ul Haq Qureshi,Server,Grass,10+,2,-0.003906826673313157,0.5,0.5039068266733132
Aisam Ul Haq Qureshi,Server,Grass,4-6,14,0.0029974818809443454,0.5714285714285714,0.5684310895476271
Akira Santillan,Server,Hard,0-3,32,0.008461221733835164,0.6875,0.6790387782661649
Akira Santillan,Server,Hard,10+,1,0.554888284905514,1.0,0.445111715094486
Akira Santillan,Server,Hard,4-6,7,-0.2801106097905847,0.2857142857142857,0.5658248955048705
Akira Santillan,Server,Hard,7-9,5,0.06688313129563088,0.6,0.5331168687043691
Alan Mackin,Server,Clay,0-3,31,-0.0940927026622416,0.4838709677419355,0.5779636704041771
Alan Mackin,Server,Clay,10+,7,-0.029964188041083806,0.42857142857142855,0.4585356166125124
Alan Mackin,Server,Clay,4-6,20,-0.15847477482089328,0.3,0.4584747748208933
Alan Mackin,Server,Clay,7-9,7,-0.28850346869298665,0.14285714285714285,0.4313606115501295
Albano Olivetti,Server,Hard,0-3,38,-0.13317018772945644,0.5263157894736842,0.6594859772031406
Albano Olivetti,Server,Hard,4-6,3,0.41723524021363884,1.0,0.5827647597863611
Albert Costa,Server,Clay,0-3,224,-0.0020373403036490815,0.6607142857142857,0.6627516260179348
Albert Costa,Server,Clay,10+,92,0.010872035842531366,0.5108695652173914,0.4999975293748599
Albert Costa,Server,Clay,4-6,135,-0.04648781379336698,0.4962962962962963,0.5427841100896632
Albert Costa,Server,Clay,7-9,77,-0.007944674983317334,0.4935064935064935,0.5014511684898109
Albert Costa,Server,Hard,0-3,97,0.03071220470074952,0.7010309278350515,0.6703187231343021
Albert Costa,Server,Hard,10+,11,0.04614984158772548,0.5454545454545454,0.49930470386681997
Albert Costa,Server,Hard,4-6,61,-0.09070139410187929,0.47540983606557374,0.566111230167453
Albert Costa,Server,Hard,7-9,16,0.03520993916916555,0.5625,0.5272900608308344
Albert Montanes,Server,Clay,0-3,55,-0.03688274842078973,0.5454545454545454,0.5823372938753352
Albert Montanes,Server,Clay,10+,14,-0.1228316639007737,0.2857142857142857,0.40854594961505936
Albert Montanes,Server,Clay,4-6,43,-0.1680984050376619,0.3023255813953488,0.47042398643301075
Albert Montanes,Server,Clay,7-9,19,0.1714006532782782,0.5789473684210527,0.40754671514277446
Albert Ramos,Server,Clay,0-3,603,-0.026017659922612704,0.6318407960199005,0.6578584559425132
Albert Ramos,Server,Clay,10+,213,0.024857079907607552,0.5211267605633803,0.4962696806557727
Albert Ramos,Server,Clay,4-6,387,0.03798350261779,0.5917312661498708,0.5537477635320808
Albert Ramos,Server,Clay,7-9,205,-0.07614431780888462,0.43414634146341463,0.5102906592722992
Albert Ramos,Server,Grass,0-3,55,-0.07002590102864431,0.6181818181818182,0.6882077192104625
Albert Ramos,Server,Grass,10+,3,0.10356385879090739,0.6666666666666666,0.5631028078757593
Albert Ramos,Server,Grass,4-6,12,-0.3043832935042759,0.25,0.554383293504276
Albert Ramos,Server,Grass,7-9,8,0.11814251352761684,0.625,0.5068574864723832
Albert Ramos,Server,Hard,0-3,202,-0.040327393361195125,0.6237623762376238,0.6640897695988188
Albert Ramos,Server,Hard,10+,55,0.013383557163556905,0.509090909090909,0.4957073519273522
Albert Ramos,Server,Hard,4-6,113,0.09451158748214501,0.6548672566371682,0.5603556691550231
Albert Ramos,Server,Hard,7-9,74,-0.0030609944430369613,0.5,0.503060994443037
Alberto Berasategui,Server,Clay,0-3,68,0.09547510711138066,0.7794117647058824,0.6839366575945016
Alberto Berasategui,Server,Clay,10+,39,-0.05505937197008367,0.46153846153846156,0.5165978335085452
Alberto Berasategui,Server,Clay,4-6,48,0.11227483130229855,0.6875,0.5752251686977015
Alberto Berasategui,Server,Clay,7-9,21,-0.008439369492965637,0.5238095238095238,0.5322488933024895
Alberto Berasategui,Server,Hard,0-3,62,-0.02189792779364686,0.6612903225806451,0.6831882503742921
Alberto Berasategui,Server,Hard,10+,20,-0.1910723984450509,0.35,0.5410723984450508
Alberto Berasategui,Server,Hard,4-6,42,-0.027490834889909707,0.5476190476190477,0.5751098825089573
Alberto Berasategui,Server,Hard,7-9,26,-0.07679888397244729,0.46153846153846156,0.5383373455109088
Alberto Mancini,Server,Clay,0-3,106,0.07755755628174647,0.660377358490566,0.5828198022088196
Alberto Mancini,Server,Clay,10+,63,0.05664261810681354,0.47619047619047616,0.4195478580836627
Alberto Mancini,Server,Clay,4-6,84,0.15501208998672547,0.6309523809523809,0.4759402909656555
Alberto Mancini,Server,Clay,7-9,40,0.11793819918577211,0.525,0.40706180081422794
Alberto Martin,Server,Clay,0-3,33,-0.0824197651700355,0.5757575757575758,0.6581773409276113
Alberto Martin,Server,Clay,10+,14,-0.023131180141635954,0.5,0.523131180141636
Alberto Martin,Server,Clay,4-6,18,0.09860552392912565,0.6666666666666666,0.568061142737541
Alberto Martin,Server,Clay,7-9,11,0.044466760640007576,0.5454545454545454,0.5009877848145379
Alejandro Davidovich Fokina,Server,Clay,0-3,942,-0.05658109892514544,0.6093418259023354,0.6659229248274808
Alejandro Davidovich Fokina,Server,Clay,10+,205,0.05771903565006546,0.5707317073170731,0.5130126716670077
Alejandro Davidovich Fokina,Server,Clay,4-6,536,-0.029452223433487613,0.5279850746268657,0.5574372980603534
Alejandro Davidovich Fokina,Server,Clay,7-9,234,0.041262301832771,0.5641025641025641,0.5228402622697931
Alejandro Davidovich Fokina,Server,Grass,0-3,278,-0.013975956114434184,0.658273381294964,0.6722493374093982
Alejandro Davidovich Fokina,Server,Grass,10+,27,0.009158525844289177,0.5185185185185185,0.5093599926742294
Alejandro Davidovich Fokina,Server,Grass,4-6,126,-0.004666323736916506,0.5555555555555556,0.560221879292472
Alejandro Davidovich Fokina,Server,Grass,7-9,42,0.019870574863110772,0.5476190476190477,0.5277484727559368
Alejandro Davidovich Fokina,Server,Hard,0-3,1106,-0.051551155111004866,0.6139240506329114,0.6654752057439162
Alejandro Davidovich Fokina,Server,Hard,10+,208,-0.01662621757952122,0.49038461538461536,0.5070108329641366
Alejandro Davidovich Fokina,Server,Hard,4-6,637,-0.011744399550836802,0.5384615384615384,0.5502059380123753
Alejandro Davidovich Fokina,Server,Hard,7-9,237,-0.00011650989920968724,0.5063291139240507,0.5064456238232603
Alejandro Falla,Server,Clay,0-3,76,0.028444374131467637,0.6052631578947368,0.5768187837632691
Alejandro Falla,Server,Clay,10+,17,0.053728490609441945,0.47058823529411764,0.41685974468467574
Alejandro Falla,Server,Clay,4-6,39,-0.03092814095995357,0.4358974358974359,0.46682557685738946
Alejandro Falla,Server,Clay,7-9,13,0.2257920748644363,0.6923076923076923,0.466515617443256
Alejandro Falla,Server,Grass,0-3,176,0.06458423358472036,0.6761363636363636,0.6115521300516433
Alejandro Falla,Server,Grass,10+,39,0.012894456243745685,0.4358974358974359,0.42300297965369016
Alejandro Falla,Server,Grass,4-6,122,0.005857996907714109,0.48360655737704916,0.4777485604693351
Alejandro Falla,Server,Grass,7-9,40,0.012966789547112162,0.45,0.43703321045288784
Alejandro Falla,Server,Hard,0-3,36,0.1878804064166683,0.7777777777777778,0.5898973713611094
Alejandro Falla,Server,Hard,10+,2,-0.4205783326355679,0.0,0.4205783326355679
Alejandro Falla,Server,Hard,4-6,11,0.15245834796126861,0.6363636363636364,0.4839052884023678
Alejandro Falla,Server,Hard,7-9,3,-0.07496278657020612,0.3333333333333333,0.4082961199035395
Alejandro Gonzalez,Server,Clay,0-3,17,-0.09569933213606742,0.6470588235294118,0.7427581556654792
Alejandro Gonzalez,Server,Clay,10+,13,0.13241138118598614,0.6923076923076923,0.5598963111217061
Alejandro Gonzalez,Server,Clay,4-6,10,0.0715584959315008,0.7,0.6284415040684992
Alejandro Gonzalez,Server,Clay,7-9,4,-0.12508709526586997,0.5,0.62508709526587
Alejandro Gonzalez,Server,Hard,0-3,35,-0.04836371620046949,0.6285714285714286,0.676935144771898
Alejandro Gonzalez,Server,Hard,10+,6,0.028292993794193293,0.5,0.4717070062058067
Alejandro Gonzalez,Server,Hard,4-6,13,0.049182880884218697,0.6153846153846154,0.5662017345003967
Alejandro Gonzalez,Server,Hard,7-9,1,0.5407024424523751,1.0,0.4592975575476249
Alejandro Lopez Escribano,Server,Hard,0-3,30,0.002198543393794661,0.6666666666666666,0.664468123272872
Alejandro Lopez Escribano,Server,Hard,10+,2,-0.48862279102170947,0.0,0.48862279102170947
Alejandro Lopez Escribano,Server,Hard,4-6,15,-0.13905316194181438,0.4,0.5390531619418143
Alejandro Lopez Escribano,Server,Hard,7-9,8,-0.04716750467174659,0.5,0.5471675046717466
Alejandro Moro Canas,Server,Clay,0-3,30,-0.04857487058939067,0.6333333333333333,0.681908203922724
Alejandro Moro Canas,Server,Clay,10+,11,0.053817482002465326,0.5454545454545454,0.49163706345208014
Alejandro Moro Canas,Server,Clay,4-6,28,0.006996714389213375,0.5714285714285714,0.564431857039358
Alejandro Moro Canas,Server,Clay,7-9,5,-0.30814305312282086,0.2,0.5081430531228209
Alejandro Moro Canas,Server,Grass,0-3,78,0.10358993391228842,0.782051282051282,0.6784613481389936
Alejandro Moro Canas,Server,Grass,10+,7,-0.3640214571584101,0.14285714285714285,0.506878600015553
Alejandro Moro Canas,Server,Grass,4-6,39,-0.08139022569128788,0.48717948717948717,0.5685697128707751
Alejandro Moro Canas,Server,Grass,7-9,3,-0.1953854906333995,0.3333333333333333,0.5287188239667328
Alejandro Tabilo,Server,Clay,0-3,416,0.01430912672516371,0.6826923076923077,0.668383180967144
Alejandro Tabilo,Server,Clay,10+,69,0.009915403223387066,0.4782608695652174,0.4683454663418303
Alejandro Tabilo,Server,Clay,4-6,225,0.03368505582856532,0.5866666666666667,0.5529816108381013
Alejandro Tabilo,Server,Clay,7-9,96,0.0039831599804002115,0.5,0.49601684001959984
Alejandro Tabilo,Server,Grass,0-3,92,0.07242635865497077,0.75,0.6775736413450292
Alejandro Tabilo,Server,Grass,10+,8,-0.020304949739316652,0.5,0.5203049497393166
Alejandro Tabilo,Server,Grass,4-6,26,0.08548487516754885,0.6153846153846154,0.5298997402170665
Alejandro Tabilo,Server,Grass,7-9,15,-0.13510377512087393,0.4,0.5351037751208739
Alejandro Tabilo,Server,Hard,0-3,291,-0.046911552321097956,0.6288659793814433,0.6757775317025412
Alejandro Tabilo,Server,Hard,10+,44,0.021721581797153496,0.5227272727272727,0.5010056909301193
Alejandro Tabilo,Server,Hard,4-6,172,-0.03696323644497176,0.5232558139534884,0.5602190503984601
Alejandro Tabilo,Server,Hard,7-9,67,-0.07052692826251056,0.44776119402985076,0.5182881222923613
Aleksandar Kovacevic,Server,Hard,0-3,288,0.0035261567114728254,0.6840277777777778,0.680501621066305
Aleksandar Kovacevic,Server,Hard,10+,44,-0.05295275848439005,0.45454545454545453,0.5074982130298445
Aleksandar Kovacevic,Server,Hard,4-6,104,-0.06542734587187851,0.49038461538461536,0.5558119612564939
Aleksandar Kovacevic,Server,Hard,7-9,38,-0.09526380479812534,0.42105263157894735,0.5163164363770727
Aleksandar Vukic,Server,Clay,0-3,177,-0.005765342899052928,0.6666666666666666,0.6724320095657196
Aleksandar Vukic,Server,Clay,10+,42,0.028492629874453095,0.5238095238095238,0.4953168939350707
Aleksandar Vukic,Server,Clay,4-6,89,-0.016228796066128055,0.5280898876404494,0.5443186837065774
Aleksandar Vukic,Server,Clay,7-9,36,-0.06688570881685588,0.4444444444444444,0.5113301532613003
Aleksandar Vukic,Server,Grass,0-3,32,-0.05177319411322007,0.625,0.67677319411322
Aleksandar Vukic,Server,Grass,10+,3,-0.5257709907613178,0.0,0.5257709907613178
Aleksandar Vukic,Server,Grass,4-6,20,-0.24987895838846833,0.3,0.5498789583884683
Aleksandar Vukic,Server,Grass,7-9,5,-0.30014395195481897,0.2,0.500143951954819
Aleksandar Vukic,Server,Hard,0-3,283,-0.06731902701387056,0.5971731448763251,0.6644921718901957
Aleksandar Vukic,Server,Hard,10+,60,0.045079590453437776,0.5333333333333333,0.4882537428798956
Aleksandar Vukic,Server,Hard,4-6,147,-0.009811849958780261,0.5238095238095238,0.5336213737683041
Aleksandar Vukic,Server,Hard,7-9,55,-0.1508779100910684,0.36363636363636365,0.5145142737274321
Aleksandr Nedovyesov,Server,Clay,0-3,49,0.05186034220624497,0.7346938775510204,0.6828335353447754
Aleksandr Nedovyesov,Server,Clay,10+,4,-0.3186063465219462,0.25,0.5686063465219462
Aleksandr Nedovyesov,Server,Clay,4-6,14,0.08458485670240334,0.6428571428571429,0.5582722861547394
Aleksandr Nedovyesov,Server,Clay,7-9,6,0.2991216109573235,0.8333333333333334,0.5342117223760098
Aleksandr Nedovyesov,Server,Hard,0-3,43,0.05122847778085787,0.7441860465116279,0.6929575687307701
Aleksandr Nedovyesov,Server,Hard,10+,4,-0.5106778423754044,0.0,0.5106778423754044
Aleksandr Nedovyesov,Server,Hard,4-6,12,0.07771955833692033,0.6666666666666666,0.5889471083297463
Aleksandr Nedovyesov,Server,Hard,7-9,5,-0.5069210386073408,0.0,0.5069210386073408
Aleksandre Metreveli,Server,Hard,0-3,42,0.06056938829229849,0.6428571428571429,0.5822877545648444
Aleksandre Metreveli,Server,Hard,10+,6,-0.023331741496048036,0.3333333333333333,0.35666507482938137
Aleksandre Metreveli,Server,Hard,4-6,33,0.091852287355208,0.5757575757575758,0.4839052884023678
Aleksandre Metreveli,Server,Hard,7-9,10,0.09598910811127788,0.5,0.40401089188872213
Alessandro Giannessi,Server,Clay,0-3,47,0.12203514798578,0.723404255319149,0.601369107333369
Alessandro Giannessi,Server,Clay,10+,15,0.07924235233319671,0.4666666666666667,0.3874243143334699
Alessandro Giannessi,Server,Clay,4-6,28,0.08512601275630916,0.5714285714285714,0.4863025586722623
Alessandro Giannessi,Server,Clay,7-9,20,0.176003340206982,0.6,0.423996659793018
Alessandro Giannessi,Server,Hard,0-3,25,0.08741663230466017,0.68,0.5925833676953398
